HD1080,15,,132,10.1968,411.329
HD1080,15,,127,10.026,435.06
HD1080,15,,122,10.0097,332.228
HD1080,15,,131,10.0297,545.802
HD1080,15,,128,10.0248,419.24
HD1080,15,,124,10.0132,616.994
HD1080,15,,132,10.0549,458.79
HD1080,15,,133,10.0167,166.114
HD1080,15,,133,10.0279,174.024
HD1080,15,,135,10.0375,0
HD1080,15,display,56,10.4556,427.15
HD1080,15,display,53,10.0545,403.419
HD1080,15,display,53,10.1395,411.329
HD1080,15,display,47,10.0291,363.868
HD1080,15,display,50,10.0553,379.689
HD1080,15,display,57,10.0491,371.778
HD1080,15,display,57,10.1477,411.329
HD1080,15,display,56,10.0176,435.06
HD1080,15,display,58,10.7794,419.24
HD1080,15,display,55,10.6297,419.24
HD720,30,,265,10.0144,379.69
HD720,30,,264,10.0016,478.128
HD720,30,,266,10.0225,330.471
HD720,30,,254,10.0074,210.939
HD720,30,,264,10.0207,355.08
HD720,30,,253,10.0333,495.706
HD720,30,,261,10.0161,562.504
HD720,30,,264,10.0217,165.235
HD720,30,,265,10.0239,337.502
HD720,30,,265,10.0238,123.048
HD720,30,display,110,10.0655,358.596
HD720,30,display,126,10.0674,319.924
HD720,30,display,114,10.0639,358.596
HD720,30,display,107,10.0451,348.049
HD720,30,display,119,10.0177,348.049
HD720,30,display,120,10.0582,309.377
HD720,30,display,115,10.0161,358.596
HD720,30,display,118,10.0642,358.596
HD720,30,display,112,10.0042,362.112
HD720,30,display,115,10.0601,295.314
VGA,60,,526,10.0065,570.714
VGA,60,,485,10.0048,523.838
VGA,60,,490,10.0021,471.103
VGA,60,,486,10.0105,512.119
VGA,60,,486,10.0075,521.495
VGA,60,,487,10.0088,546.104
VGA,60,,488,10.0155,521.495
VGA,60,,493,10.0051,282.427
VGA,60,,525,10.0022,291.803
VGA,60,,492,10.0052,532.042
VGA,60,display,249,10.0245,291.803
VGA,60,display,250,10.0074,290.631
VGA,60,display,248,10.3557,290.631
VGA,60,display,251,10.5447,292.974
VGA,60,display,249,10.5401,290.631
VGA,60,display,249,10.4436,290.631
VGA,60,display,248,10.647,290.631
VGA,60,display,248,10.4405,289.459
VGA,60,display,248,10.5403,289.459
VGA,60,display,249,10.3255,290.631
